;demonimador;numerador;FrequÃªncia;Qtd_1_Denom;Qtd_0_Demon;D0N0;D0N1;D1N0;D1N1
53;Analgésicos;D41;0.0568181818181818;88;42;40;2;83;5
54;Analgésicos;D42;0.0113636363636364;88;42;41;1;87;1
55;Analgésicos;D43;0.0340909090909091;88;42;42;0;85;3
56;Analgésicos;D44;0.375;88;42;37;5;55;33
57;Analgésicos;D45;0.102272727272727;88;42;39;3;79;9
58;Analgésicos;D46;0.375;88;42;37;5;55;33
59;Analgésicos;D47;0.0909090909090909;88;42;38;4;80;8
60;Analgésicos;D48;0.25;88;42;38;4;66;22
61;Analgésicos;D49;0.0909090909090909;88;42;37;5;80;8
62;Analgésicos;D5;0.0227272727272727;88;42;41;1;86;2
63;Analgésicos;D50;0.0113636363636364;88;42;41;1;87;1
64;Analgésicos;D51;0.0113636363636364;88;42;42;0;87;1
65;Analgésicos;D52;0.0113636363636364;88;42;41;1;87;1
66;Analgésicos;D53;0.0227272727272727;88;42;42;0;86;2
67;Analgésicos;D9;0.0113636363636364;88;42;42;0;87;1
68;Aposentado;Fuma;0.323529411764706;34;155;121;34;23;11
69;Aposentado;Cirurgia_coluna;0.606060606060606;33;151;99;52;13;20
70;Aposentado;Aposentado;1;37;164;164;0;0;37
71;Aposentado;Desempregado;0.305555555555556;36;161;142;19;25;11
72;Aposentado;Licenca_Medica;0.138888888888889;36;163;149;14;31;5
73;Aposentado;Aposentado_Invalidez;0.0285714285714286;35;159;152;7;34;1
74;Aposentado;Analgésicos;0.657142857142857;35;158;54;104;12;23
75;Aposentado;OutraDoenca;0.513513513513513;37;158;106;52;18;19
76;Aposentado;Dor_costas;0.694444444444444;36;157;65;92;11;25
77;Aposentado;Dor_pernas;0.388888888888889;36;155;108;47;22;14
78;Aposentado;Retornar_trabalho;0.433333333333333;30;146;138;8;17;13
79;Aposentado;Masc;0.783783783783784;37;164;61;103;8;29
80;Aposentado;Fem;0.216216216216216;37;164;103;61;29;8
81;Aposentado;Casado_Amasiado;0.441176470588235;34;156;88;68;19;15
82;Aposentado;Solteiro;0.264705882352941;34;156;84;72;25;9
83;Aposentado;Separado_Divorciado;0.0882352941176471;34;156;151;5;31;3
84;Aposentado;X4;0;34;156;153;3;34;0
85;Aposentado;X5;0;34;156;152;4;34;0
86;Aposentado;X6;0.205882352941176;34;156;152;4;27;7
87;Aposentado;Livrar_costas;0.961538461538462;26;93;13;80;1;25
88;Aposentado;Livrar_perna;0.0384615384615385;26;93;81;12;25;1
89;Aposentado;Livrar_perda_sens;0;26;93;92;1;26;0
90;Aposentado;D1;0;31;101;100;1;31;0
91;Aposentado;D15;0.032258064516129;31;101;96;5;30;1
92;Aposentado;D16;0.290322580645161;31;101;90;11;22;9
93;Aposentado;D17;0;31;101;96;5;31;0
94;Aposentado;D18;0.0645161290322581;31;101;87;14;29;2
95;Aposentado;D19;0.0645161290322581;31;101;96;5;29;2
96;Aposentado;D2;0.0645161290322581;31;101;95;6;29;2
97;Aposentado;D20;0.0645161290322581;31;101;95;6;29;2
98;Aposentado;D21;0.0645161290322581;31;101;96;5;29;2
99;Aposentado;D22;0.032258064516129;31;101;100;1;30;1
100;Aposentado;D23;0.032258064516129;31;101;100;1;30;1
101;Aposentado;D24;0.129032258064516;31;101;79;22;27;4
102;Aposentado;D25;0.0645161290322581;31;101;99;2;29;2
103;Aposentado;D26;0.032258064516129;31;101;100;1;30;1
104;Aposentado;D27;0.0645161290322581;31;101;98;3;29;2
105;Aposentado;D28;0.0645161290322581;31;101;97;4;29;2
106;Aposentado;D29;0.419354838709677;31;101;72;29;18;13
107;Aposentado;D3;0;31;101;99;2;31;0
108;Aposentado;D30;0.645161290322581;31;101;59;42;11;20
109;Aposentado;D31;0.0967741935483871;31;101;88;13;28;3
110;Aposentado;D32;0.32258064516129;31;101;74;27;21;10
111;Aposentado;D33;0.032258064516129;31;101;91;10;30;1
112;Aposentado;D34;0.032258064516129;31;101;99;2;30;1
113;Aposentado;D35;0.032258064516129;31;101;100;1;30;1
114;Aposentado;D36;0.0645161290322581;31;101;96;5;29;2
115;Aposentado;D37;0.290322580645161;31;101;88;13;22;9
116;Aposentado;D38;0;31;101;99;2;31;0
117;Aposentado;D39;0.225806451612903;31;101;93;8;24;7
118;Aposentado;D4;0.032258064516129;31;101;98;3;30;1
119;Aposentado;D40;0;31;101;97;4;31;0
120;Aposentado;D41;0.0645161290322581;31;101;96;5;29;2
121;Aposentado;D42;0.032258064516129;31;101;99;2;30;1
122;Aposentado;D43;0.032258064516129;31;101;99;2;30;1
123;Aposentado;D44;0.387096774193548;31;101;75;26;19;12
124;Aposentado;D45;0.0645161290322581;31;101;92;9;29;2
125;Aposentado;D46;0.354838709677419;31;101;74;27;20;11
126;Aposentado;D47;0.032258064516129;31;101;91;10;30;1
127;Aposentado;D48;0.32258064516129;31;101;85;16;21;10
128;Aposentado;D49;0.032258064516129;31;101;90;11;30;1
129;Aposentado;D5;0.0645161290322581;31;101;100;1;29;2
130;Aposentado;D50;0;31;101;99;2;31;0
131;Aposentado;D51;0.032258064516129;31;101;101;0;30;1
132;Aposentado;D52;0;31;101;99;2;31;0
133;Aposentado;D53;0;31;101;99;2;31;0
134;Aposentado;D9;0.032258064516129;31;101;101;0;30;1
135;Aposentado_Invalidez;Fuma;0.625;8;174;135;39;3;5
136;Aposentado_Invalidez;Cirurgia_coluna;0.4;5;176;107;69;3;2
137;Aposentado_Invalidez;Aposentado;0.125;8;186;152;34;7;1
138;Aposentado_Invalidez;Desempregado;0.375;8;183;157;26;5;3
139;Aposentado_Invalidez;Licenca_Medica;0.375;8;184;169;15;5;3
140;Aposentado_Invalidez;Aposentado_Invalidez;1;8;189;189;0;0;8
141;Aposentado_Invalidez;Analgésicos;0.875;8;182;63;119;1;7
142;Aposentado_Invalidez;OutraDoenca;0.625;8;184;117;67;3;5
143;Aposentado_Invalidez;Dor_costas;0.875;8;182;74;108;1;7
144;Aposentado_Invalidez;Dor_pernas;0.875;8;180;128;52;1;7
145;Aposentado_Invalidez;Retornar_trabalho;0.571428571428571;7;167;150;17;3;4
146;Aposentado_Invalidez;Masc;0.5;8;189;65;124;4;4
147;Aposentado_Invalidez;Fem;0.5;8;189;124;65;4;4
148;Aposentado_Invalidez;Casado_Amasiado;0.375;8;178;98;80;5;3
149;Aposentado_Invalidez;Solteiro;0.5;8;178;105;73;4;4
150;Aposentado_Invalidez;Separado_Divorciado;0;8;178;170;8;8;0
151;Aposentado_Invalidez;X4;0;8;178;175;3;8;0
152;Aposentado_Invalidez;X5;0;8;178;174;4;8;0
153;Aposentado_Invalidez;X6;0.125;8;178;168;10;7;1
154;Aposentado_Invalidez;Livrar_costas;0.75;8;109;13;96;2;6
155;Aposentado_Invalidez;Livrar_perna;0.25;8;109;98;11;6;2
156;Aposentado_Invalidez;Livrar_perda_sens;0;8;109;107;2;8;0
157;Aposentado_Invalidez;D1;0;8;123;122;1;8;0
158;Aposentado_Invalidez;D15;0.125;8;123;118;5;7;1
159;Aposentado_Invalidez;D16;0.375;8;123;107;16;5;3
160;Aposentado_Invalidez;D17;0;8;123;118;5;8;0
161;Aposentado_Invalidez;D18;0.125;8;123;108;15;7;1
162;Aposentado_Invalidez;D19;0.125;8;123;117;6;7;1
163;Aposentado_Invalidez;D2;0.125;8;123;116;7;7;1
164;Aposentado_Invalidez;D20;0.125;8;123;116;7;7;1
165;Aposentado_Invalidez;D21;0;8;123;116;7;8;0
166;Aposentado_Invalidez;D22;0;8;123;121;2;8;0
167;Aposentado_Invalidez;D23;0;8;123;121;2;8;0
168;Aposentado_Invalidez;D24;0.375;8;123;100;23;5;3
169;Aposentado_Invalidez;D25;0;8;123;119;4;8;0
170;Aposentado_Invalidez;D26;0;8;123;121;2;8;0
171;Aposentado_Invalidez;D27;0.125;8;123;119;4;7;1
172;Aposentado_Invalidez;D28;0;8;123;117;6;8;0
173;Aposentado_Invalidez;D29;0.625;8;123;86;37;3;5
174;Aposentado_Invalidez;D3;0.125;8;123;122;1;7;1
175;Aposentado_Invalidez;D30;0.875;8;123;69;54;1;7
176;Aposentado_Invalidez;D31;0.125;8;123;108;15;7;1
177;Aposentado_Invalidez;D32;0.5;8;123;91;32;4;4
178;Aposentado_Invalidez;D33;0;8;123;113;10;8;0
179;Aposentado_Invalidez;D34;0;8;123;120;3;8;0
180;Aposentado_Invalidez;D35;0;8;123;121;2;8;0
181;Aposentado_Invalidez;D36;0;8;123;116;7;8;0
182;Aposentado_Invalidez;D37;0.25;8;123;103;20;6;2
183;Aposentado_Invalidez;D38;0;8;123;121;2;8;0
184;Aposentado_Invalidez;D39;0.125;8;123;109;14;7;1
185;Aposentado_Invalidez;D4;0.125;8;123;120;3;7;1
186;Aposentado_Invalidez;D40;0;8;123;119;4;8;0
187;Aposentado_Invalidez;D41;0.125;8;123;117;6;7;1
188;Aposentado_Invalidez;D42;0;8;123;120;3;8;0
189;Aposentado_Invalidez;D43;0;8;123;120;3;8;0
190;Aposentado_Invalidez;D44;0.5;8;123;90;33;4;4
191;Aposentado_Invalidez;D45;0.125;8;123;114;9;7;1
192;Aposentado_Invalidez;D46;0.625;8;123;90;33;3;5
193;Aposentado_Invalidez;D47;0.25;8;123;114;9;6;2
194;Aposentado_Invalidez;D48;0.25;8;123;99;24;6;2
195;Aposentado_Invalidez;D49;0;8;123;111;12;8;0
196;Aposentado_Invalidez;D5;0;8;123;120;3;8;0
197;Aposentado_Invalidez;D50;0;8;123;121;2;8;0
198;Aposentado_Invalidez;D51;0;8;123;122;1;8;0
199;Aposentado_Invalidez;D52;0;8;123;121;2;8;0
200;Aposentado_Invalidez;D53;0;8;123;121;2;8;0
201;Aposentado_Invalidez;D9;0;8;123;122;1;8;0
202;Casado_Amasiado;Fuma;0.142857142857143;84;109;75;34;72;12
203;Casado_Amasiado;Cirurgia_coluna;0.353658536585366;82;96;53;43;53;29
204;Casado_Amasiado;Aposentado;0.180722891566265;83;107;88;19;68;15
205;Casado_Amasiado;Desempregado;0.109756097560976;82;104;87;17;73;9
206;Casado_Amasiado;Licenca_Medica;0.0617283950617284;81;107;93;14;76;5
207;Casado_Amasiado;Aposentado_Invalidez;0.036144578313253;83;103;98;5;80;3
208;Casado_Amasiado;Analgésicos;0.691358024691358;81;106;40;66;25;56
209;Casado_Amasiado;OutraDoenca;0.333333333333333;84;105;64;41;56;28
210;Casado_Amasiado;Dor_costas;0.614457831325301;83;103;45;58;32;51
211;Casado_Amasiado;Dor_pernas;0.313253012048193;83;102;66;36;57;26
212;Casado_Amasiado;Retornar_trabalho;0.0985915492957746;71;96;82;14;64;7
213;Casado_Amasiado;Masc;0.588235294117647;85;117;33;84;35;50
214;Casado_Amasiado;Fem;0.411764705882353;85;117;84;33;50;35
215;Casado_Amasiado;Casado_Amasiado;1;85;117;117;0;0;85
216;Casado_Amasiado;Solteiro;0;85;117;29;88;85;0
217;Casado_Amasiado;Separado_Divorciado;0;85;117;109;8;85;0
218;Casado_Amasiado;X4;0;85;117;114;3;85;0
219;Casado_Amasiado;X5;0;85;117;111;6;85;0
220;Casado_Amasiado;X6;0;85;117;105;12;85;0
221;Casado_Amasiado;Livrar_costas;0.891304347826087;46;66;10;56;5;41
222;Casado_Amasiado;Livrar_perna;0.108695652173913;46;66;57;9;41;5
223;Casado_Amasiado;Livrar_perda_sens;0;46;66;65;1;46;0
224;Casado_Amasiado;D1;0.0181818181818182;55;81;81;0;54;1
225;Casado_Amasiado;D15;0.0545454545454545;55;81;77;4;52;3
226;Casado_Amasiado;D16;0.181818181818182;55;81;71;10;45;10
227;Casado_Amasiado;D17;0.0363636363636364;55;81;78;3;53;2
228;Casado_Amasiado;D18;0.109090909090909;55;81;71;10;49;6
229;Casado_Amasiado;D19;0.0545454545454545;55;81;77;4;52;3
230;Casado_Amasiado;D2;0.0181818181818182;55;81;74;7;54;1
231;Casado_Amasiado;D20;0.0727272727272727;55;81;77;4;51;4
232;Casado_Amasiado;D21;0.0909090909090909;55;81;79;2;50;5
233;Casado_Amasiado;D22;0.0363636363636364;55;81;81;0;53;2
234;Casado_Amasiado;D23;0;55;81;79;2;55;0
235;Casado_Amasiado;D24;0.2;55;81;66;15;44;11
236;Casado_Amasiado;D25;0.0181818181818182;55;81;78;3;54;1
237;Casado_Amasiado;D26;0.0363636363636364;55;81;81;0;53;2
238;Casado_Amasiado;D27;0;55;81;76;5;55;0
239;Casado_Amasiado;D28;0.0363636363636364;55;81;77;4;53;2
240;Casado_Amasiado;D29;0.4;55;81;61;20;33;22
241;Casado_Amasiado;D3;0;55;81;79;2;55;0
242;Casado_Amasiado;D30;0.527272727272727;55;81;48;33;26;29
243;Casado_Amasiado;D31;0.0909090909090909;55;81;69;12;50;5
244;Casado_Amasiado;D32;0.327272727272727;55;81;62;19;37;18
245;Casado_Amasiado;D33;0.0727272727272727;55;81;73;8;51;4
246;Casado_Amasiado;D34;0.0181818181818182;55;81;79;2;54;1
247;Casado_Amasiado;D35;0;55;81;79;2;55;0
248;Casado_Amasiado;D36;0.0727272727272727;55;81;77;4;51;4
249;Casado_Amasiado;D37;0.2;55;81;70;11;44;11
250;Casado_Amasiado;D38;0;55;81;78;3;55;0
251;Casado_Amasiado;D39;0.145454545454545;55;81;74;7;47;8
252;Casado_Amasiado;D4;0;55;81;77;4;55;0
253;Casado_Amasiado;D40;0.0181818181818182;55;81;77;4;54;1
254;Casado_Amasiado;D41;0.0545454545454545;55;81;77;4;52;3
255;Casado_Amasiado;D42;0.0363636363636364;55;81;80;1;53;2
256;Casado_Amasiado;D43;0.0545454545454545;55;81;81;0;52;3
257;Casado_Amasiado;D44;0.345454545454545;55;81;62;19;36;19
258;Casado_Amasiado;D45;0.0363636363636364;55;81;71;10;53;2
259;Casado_Amasiado;D46;0.345454545454545;55;81;62;19;36;19
260;Casado_Amasiado;D47;0.0363636363636364;55;81;71;10;53;2
261;Casado_Amasiado;D48;0.218181818181818;55;81;67;14;43;12
262;Casado_Amasiado;D49;0.0909090909090909;55;81;73;8;50;5
263;Casado_Amasiado;D5;0;55;81;78;3;55;0
264;Casado_Amasiado;D50;0.0181818181818182;55;81;80;1;54;1
265;Casado_Amasiado;D51;0;55;81;80;1;55;0
266;Casado_Amasiado;D52;0.0181818181818182;55;81;80;1;54;1
267;Casado_Amasiado;D53;0.0363636363636364;55;81;81;0;53;2
268;Casado_Amasiado;D9;0;55;81;80;1;55;0
269;Cirurgia_coluna;Fuma;0.314285714285714;70;108;96;12;48;22
270;Cirurgia_coluna;Cirurgia_coluna;1;79;134;134;0;0;79
271;Cirurgia_coluna;Aposentado;0.277777777777778;72;112;99;13;52;20
272;Cirurgia_coluna;Desempregado;0.208333333333333;72;108;99;9;57;15
273;Cirurgia_coluna;Licenca_Medica;0.138888888888889;72;110;107;3;62;10
274;Cirurgia_coluna;Aposentado_Invalidez;0.028169014084507;71;110;107;3;69;2
275;Cirurgia_coluna;Analgésicos;0.684210526315789;76;122;39;83;24;52
276;Cirurgia_coluna;OutraDoenca;0.373333333333333;75;114;69;45;47;28
277;Cirurgia_coluna;Dor_costas;0.64;75;115;48;67;27;48
278;Cirurgia_coluna;Dor_pernas;0.410958904109589;73;113;89;24;43;30
279;Cirurgia_coluna;Retornar_trabalho;0.119402985074627;67;118;110;8;59;8
280;Cirurgia_coluna;Masc;0.708860759493671;79;134;49;85;23;56
281;Cirurgia_coluna;Fem;0.291139240506329;79;134;85;49;56;23
282;Cirurgia_coluna;Casado_Amasiado;0.402777777777778;72;106;53;53;43;29
283;Cirurgia_coluna;Solteiro;0.430555555555556;72;106;64;42;41;31
284;Cirurgia_coluna;Separado_Divorciado;0.0416666666666667;72;106;101;5;69;3
285;Cirurgia_coluna;X4;0;72;106;105;1;72;0
286;Cirurgia_coluna;X5;0.0277777777777778;72;106;104;2;70;2
287;Cirurgia_coluna;X6;0.0972222222222222;72;106;103;3;65;7
288;Cirurgia_coluna;Livrar_costas;0.86;50;63;8;55;7;43
289;Cirurgia_coluna;Livrar_perna;0.12;50;63;56;7;44;6
290;Cirurgia_coluna;Livrar_perda_sens;0.02;50;63;62;1;49;1
291;Cirurgia_coluna;D1;0;55;63;62;1;55;0
292;Cirurgia_coluna;D15;0.0909090909090909;55;63;63;0;50;5
293;Cirurgia_coluna;D16;0.145454545454545;55;63;54;9;47;8
294;Cirurgia_coluna;D17;0.0363636363636364;55;63;62;1;53;2
295;Cirurgia_coluna;D18;0.127272727272727;55;63;58;5;48;7
296;Cirurgia_coluna;D19;0;55;63;59;4;55;0
297;Cirurgia_coluna;D2;0.0545454545454545;55;63;61;2;52;3
298;Cirurgia_coluna;D20;0.0181818181818182;55;63;58;5;54;1
299;Cirurgia_coluna;D21;0;55;63;58;5;55;0
300;Cirurgia_coluna;D22;0;55;63;62;1;55;0
301;Cirurgia_coluna;D23;0.0181818181818182;55;63;62;1;54;1
302;Cirurgia_coluna;D24;0.163636363636364;55;63;50;13;46;9
303;Cirurgia_coluna;D25;0.0363636363636364;55;63;61;2;53;2
304;Cirurgia_coluna;D26;0;55;63;62;1;55;0
305;Cirurgia_coluna;D27;0.0545454545454545;55;63;63;0;52;3
306;Cirurgia_coluna;D28;0.0545454545454545;55;63;61;2;52;3
307;Cirurgia_coluna;D29;0.345454545454545;55;63;45;18;36;19
308;Cirurgia_coluna;D3;0;55;63;62;1;55;0
309;Cirurgia_coluna;D30;0.490909090909091;55;63;36;27;28;27
310;Cirurgia_coluna;D31;0.145454545454545;55;63;58;5;47;8
311;Cirurgia_coluna;D32;0.272727272727273;55;63;46;17;40;15
312;Cirurgia_coluna;D33;0.0727272727272727;55;63;58;5;51;4
313;Cirurgia_coluna;D34;0.0363636363636364;55;63;63;0;53;2
314;Cirurgia_coluna;D35;0.0363636363636364;55;63;63;0;53;2
315;Cirurgia_coluna;D36;0.109090909090909;55;63;63;0;49;6
316;Cirurgia_coluna;D37;0.181818181818182;55;63;54;9;45;10
317;Cirurgia_coluna;D38;0.0363636363636364;55;63;63;0;53;2
318;Cirurgia_coluna;D39;0.109090909090909;55;63;55;8;49;6
319;Cirurgia_coluna;D4;0.0363636363636364;55;63;62;1;53;2
320;Cirurgia_coluna;D40;0.0727272727272727;55;63;63;0;51;4
321;Cirurgia_coluna;D41;0.0909090909090909;55;63;62;1;50;5
322;Cirurgia_coluna;D42;0;55;63;61;2;55;0
323;Cirurgia_coluna;D43;0.0181818181818182;55;63;62;1;54;1
324;Cirurgia_coluna;D44;0.327272727272727;55;63;46;17;37;18
325;Cirurgia_coluna;D45;0.127272727272727;55;63;60;3;48;7
326;Cirurgia_coluna;D46;0.309090909090909;55;63;46;17;38;17
327;Cirurgia_coluna;D47;0.109090909090909;55;63;60;3;49;6
328;Cirurgia_coluna;D48;0.163636363636364;55;63;48;15;46;9
329;Cirurgia_coluna;D49;0.0909090909090909;55;63;57;6;50;5
330;Cirurgia_coluna;D5;0.0363636363636364;55;63;63;0;53;2
331;Cirurgia_coluna;D50;0.0181818181818182;55;63;63;0;54;1
332;Cirurgia_coluna;D51;0.0181818181818182;55;63;63;0;54;1
333;Cirurgia_coluna;D52;0.0181818181818182;55;63;62;1;54;1
334;Cirurgia_coluna;D53;0.0181818181818182;55;63;62;1;54;1
335;Cirurgia_coluna;D9;0.0181818181818182;55;63;63;0;54;1
336;D1;Fuma;0;1;127;81;46;1;0
337;D1;Cirurgia_coluna;0;1;117;62;55;1;0
338;D1;Aposentado;0;1;131;100;31;1;0
339;D1;Desempregado;0;1;129;104;25;1;0
340;D1;Licenca_Medica;0;1;131;113;18;1;0
341;D1;Aposentado_Invalidez;0;1;130;122;8;1;0
342;D1;Analgésicos;1;1;129;42;87;0;1
343;D1;OutraDoenca;0;1;129;79;50;1;0
344;D1;Dor_costas;1;1;127;37;90;0;1
345;D1;Dor_pernas;0;1;126;71;55;1;0
346;D1;Retornar_trabalho;0;1;118;98;20;1;0
347;D1;Masc;1;1;135;48;87;0;1
348;D1;Fem;0;1;135;87;48;1;0
349;D1;Casado_Amasiado;1;1;135;81;54;0;1
350;D1;Solteiro;0;1;135;76;59;1;0
351;D1;Separado_Divorciado;0;1;135;128;7;1;0
352;D1;X4;0;1;135;132;3;1;0
353;D1;X5;0;1;135;133;2;1;0
354;D1;X6;0;1;135;125;10;1;0
355;D1;Livrar_costas;1;1;99;14;85;0;1
356;D1;Livrar_perna;0;1;99;85;14;1;0
357;D1;Livrar_perda_sens;0;1;99;99;0;1;0
358;D1;D1;1;1;135;135;0;0;1
359;D1;D15;0;1;135;128;7;1;0
360;D1;D16;0;1;135;115;20;1;0
361;D1;D17;1;1;135;131;4;0;1
362;D1;D18;1;1;135;120;15;0;1
363;D1;D19;0;1;135;128;7;1;0
364;D1;D2;0;1;135;127;8;1;0
365;D1;D20;0;1;135;127;8;1;0
366;D1;D21;0;1;135;128;7;1;0
367;D1;D22;0;1;135;133;2;1;0
368;D1;D23;0;1;135;133;2;1;0
369;D1;D24;0;1;135;109;26;1;0
370;D1;D25;0;1;135;131;4;1;0
371;D1;D26;0;1;135;133;2;1;0
372;D1;D27;0;1;135;130;5;1;0
373;D1;D28;0;1;135;129;6;1;0
374;D1;D29;0;1;135;93;42;1;0
375;D1;D3;0;1;135;133;2;1;0
376;D1;D30;0;1;135;73;62;1;0
377;D1;D31;0;1;135;118;17;1;0
378;D1;D32;0;1;135;98;37;1;0
379;D1;D33;0;1;135;123;12;1;0
380;D1;D34;0;1;135;132;3;1;0
381;D1;D35;0;1;135;133;2;1;0
382;D1;D36;0;1;135;127;8;1;0
383;D1;D37;0;1;135;113;22;1;0
384;D1;D38;0;1;135;132;3;1;0
385;D1;D39;0;1;135;120;15;1;0
386;D1;D4;0;1;135;131;4;1;0
387;D1;D40;0;1;135;130;5;1;0
388;D1;D41;0;1;135;128;7;1;0
389;D1;D42;0;1;135;132;3;1;0
390;D1;D43;0;1;135;132;3;1;0
391;D1;D44;0;1;135;97;38;1;0
392;D1;D45;0;1;135;123;12;1;0
393;D1;D46;0;1;135;97;38;1;0
394;D1;D47;0;1;135;123;12;1;0
395;D1;D48;0;1;135;109;26;1;0
396;D1;D49;0;1;135;122;13;1;0
397;D1;D5;0;1;135;132;3;1;0
398;D1;D50;0;1;135;133;2;1;0
399;D1;D51;0;1;135;134;1;1;0
400;D1;D52;0;1;135;133;2;1;0
401;D1;D53;0;1;135;133;2;1;0
402;D1;D9;0;1;135;134;1;1;0
403;D15;Fuma;1;5;123;82;41;0;5
404;D15;Cirurgia_coluna;1;5;113;63;50;0;5
405;D15;Aposentado;0.166666666666667;6;126;96;30;5;1
406;D15;Desempregado;0.333333333333333;6;124;101;23;4;2
407;D15;Licenca_Medica;0.5;6;126;111;15;3;3
408;D15;Aposentado_Invalidez;0.166666666666667;6;125;118;7;5;1
409;D15;Analgésicos;0.428571428571429;7;123;38;85;4;3
410;D15;OutraDoenca;0.285714285714286;7;123;75;48;5;2
411;D15;Dor_costas;0.714285714285714;7;121;35;86;2;5
412;D15;Dor_pernas;0.857142857142857;7;120;71;49;1;6
413;D15;Retornar_trabalho;0;7;112;92;20;7;0
414;D15;Masc;0.571428571428571;7;129;45;84;3;4
415;D15;Fem;0.428571428571429;7;129;84;45;4;3
416;D15;Casado_Amasiado;0.428571428571429;7;129;77;52;4;3
417;D15;Solteiro;0.428571428571429;7;129;73;56;4;3
418;D15;Separado_Divorciado;0;7;129;122;7;7;0
419;D15;X4;0.142857142857143;7;129;127;2;6;1
420;D15;X5;0;7;129;127;2;7;0
421;D15;X6;0;7;129;119;10;7;0
422;D15;Livrar_costas;0.666666666666667;6;94;12;82;2;4
423;D15;Livrar_perna;0.333333333333333;6;94;82;12;4;2
424;D15;Livrar_perda_sens;0;6;94;94;0;6;0
425;D15;D1;0;7;129;128;1;7;0
426;D15;D15;1;7;129;129;0;0;7
427;D15;D16;0.428571428571429;7;129;112;17;4;3
428;D15;D17;0.285714285714286;7;129;126;3;5;2
429;D15;D18;0.285714285714286;7;129;115;14;5;2
430;D15;D19;0;7;129;122;7;7;0
431;D15;D2;0.142857142857143;7;129;122;7;6;1
432;D15;D20;0;7;129;121;8;7;0
433;D15;D21;0;7;129;122;7;7;0
