,demonimador,numerador,Frequência,Qtd_1_Denom,Qtd_0_Demon,D0N0,D0N1,D1N0,D1N1
97,D20,Cirurgia_coluna,0.166666667,6,112,58,54,5,1
98,D21,Cirurgia_coluna,0,5,113,58,55,5,0
99,D22,Cirurgia_coluna,0,1,117,62,55,1,0
100,D23,Cirurgia_coluna,0.5,2,116,62,54,1,1
101,D24,Cirurgia_coluna,0.409090909,22,96,50,46,13,9
102,D25,Cirurgia_coluna,0.5,4,114,61,53,2,2
103,D26,Cirurgia_coluna,0,1,117,62,55,1,0
104,D27,Cirurgia_coluna,1,3,115,63,52,0,3
105,D28,Cirurgia_coluna,0.6,5,113,61,52,2,3
106,D29,Cirurgia_coluna,0.513513514,37,81,45,36,18,19
107,D3,Cirurgia_coluna,0,1,117,62,55,1,0
108,D30,Cirurgia_coluna,0.5,54,64,36,28,27,27
109,D31,Cirurgia_coluna,0.615384615,13,105,58,47,5,8
110,D32,Cirurgia_coluna,0.46875,32,86,46,40,17,15
111,D33,Cirurgia_coluna,0.444444444,9,109,58,51,5,4
112,D34,Cirurgia_coluna,1,2,116,63,53,0,2
113,D35,Cirurgia_coluna,1,2,116,63,53,0,2
114,D36,Cirurgia_coluna,1,6,112,63,49,0,6
115,D37,Cirurgia_coluna,0.526315789,19,99,54,45,9,10
116,D38,Cirurgia_coluna,1,2,116,63,53,0,2
117,D39,Cirurgia_coluna,0.428571429,14,104,55,49,8,6
118,D4,Cirurgia_coluna,0.666666667,3,115,62,53,1,2
119,D40,Cirurgia_coluna,1,4,114,63,51,0,4
120,D41,Cirurgia_coluna,0.833333333,6,112,62,50,1,5
121,D42,Cirurgia_coluna,0,2,116,61,55,2,0
122,D43,Cirurgia_coluna,0.5,2,116,62,54,1,1
123,D44,Cirurgia_coluna,0.514285714,35,83,46,37,17,18
124,D45,Cirurgia_coluna,0.7,10,108,60,48,3,7
125,D46,Cirurgia_coluna,0.5,34,84,46,38,17,17
126,D47,Cirurgia_coluna,0.666666667,9,109,60,49,3,6
127,D48,Cirurgia_coluna,0.375,24,94,48,46,15,9
128,D49,Cirurgia_coluna,0.454545455,11,107,57,50,6,5
129,D5,Cirurgia_coluna,1,2,116,63,53,0,2
130,D50,Cirurgia_coluna,1,1,117,63,54,0,1
131,D51,Cirurgia_coluna,1,1,117,63,54,0,1
132,D52,Cirurgia_coluna,0.5,2,116,62,54,1,1
133,D53,Cirurgia_coluna,0.5,2,116,62,54,1,1
134,D9,Cirurgia_coluna,1,1,117,63,54,0,1
135,Fuma,Aposentado,0.244444444,45,144,121,23,34,11
136,Cirurgia_coluna,Aposentado,0.277777778,72,112,99,13,52,20
137,Aposentado,Aposentado,1,37,164,164,0,0,37
138,Desempregado,Aposentado,0.366666667,30,167,142,25,19,11
139,Licenca_Medica,Aposentado,0.263157895,19,180,149,31,14,5
140,Aposentado_Invalidez,Aposentado,0.125,8,186,152,34,7,1
141,Analgésicos,Aposentado,0.181102362,127,66,54,12,104,23
142,OutraDoenca,Aposentado,0.267605634,71,124,106,18,52,19
143,Dor_costas,Aposentado,0.213675214,117,76,65,11,92,25
144,Dor_pernas,Aposentado,0.229508197,61,130,108,22,47,14
145,Retornar_trabalho,Aposentado,0.619047619,21,155,138,17,8,13
146,Masc,Aposentado,0.21969697,132,69,61,8,103,29
147,Fem,Aposentado,0.115942029,69,132,103,29,61,8
148,Casado_Amasiado,Aposentado,0.180722892,83,107,88,19,68,15
149,Solteiro,Aposentado,0.111111111,81,109,84,25,72,9
150,Separado_Divorciado,Aposentado,0.375,8,182,151,31,5,3
151,X4,Aposentado,0,3,187,153,34,3,0
152,X5,Aposentado,0,4,186,152,34,4,0
153,X6,Aposentado,0.636363636,11,179,152,27,4,7
154,Livrar_costas,Aposentado,0.238095238,105,14,13,1,80,25
155,Livrar_perna,Aposentado,0.076923077,13,106,81,25,12,1
156,Livrar_perda_sens,Aposentado,0,1,118,92,26,1,0
157,D1,Aposentado,0,1,131,100,31,1,0
158,D15,Aposentado,0.166666667,6,126,96,30,5,1
159,D16,Aposentado,0.45,20,112,90,22,11,9
160,D17,Aposentado,0,5,127,96,31,5,0
161,D18,Aposentado,0.125,16,116,87,29,14,2
162,D19,Aposentado,0.285714286,7,125,96,29,5,2
163,D2,Aposentado,0.25,8,124,95,29,6,2
164,D20,Aposentado,0.25,8,124,95,29,6,2
165,D21,Aposentado,0.285714286,7,125,96,29,5,2
166,D22,Aposentado,0.5,2,130,100,30,1,1
167,D23,Aposentado,0.5,2,130,100,30,1,1
168,D24,Aposentado,0.153846154,26,106,79,27,22,4
169,D25,Aposentado,0.5,4,128,99,29,2,2
170,D26,Aposentado,0.5,2,130,100,30,1,1
171,D27,Aposentado,0.4,5,127,98,29,3,2
172,D28,Aposentado,0.333333333,6,126,97,29,4,2
173,D29,Aposentado,0.30952381,42,90,72,18,29,13
174,D3,Aposentado,0,2,130,99,31,2,0
175,D30,Aposentado,0.322580645,62,70,59,11,42,20
176,D31,Aposentado,0.1875,16,116,88,28,13,3
177,D32,Aposentado,0.27027027,37,95,74,21,27,10
178,D33,Aposentado,0.090909091,11,121,91,30,10,1
179,D34,Aposentado,0.333333333,3,129,99,30,2,1
180,D35,Aposentado,0.5,2,130,100,30,1,1
181,D36,Aposentado,0.285714286,7,125,96,29,5,2
182,D37,Aposentado,0.409090909,22,110,88,22,13,9
183,D38,Aposentado,0,2,130,99,31,2,0
184,D39,Aposentado,0.466666667,15,117,93,24,8,7
185,D4,Aposentado,0.25,4,128,98,30,3,1
186,D40,Aposentado,0,4,128,97,31,4,0
187,D41,Aposentado,0.285714286,7,125,96,29,5,2
188,D42,Aposentado,0.333333333,3,129,99,30,2,1
189,D43,Aposentado,0.333333333,3,129,99,30,2,1
190,D44,Aposentado,0.315789474,38,94,75,19,26,12
191,D45,Aposentado,0.181818182,11,121,92,29,9,2
192,D46,Aposentado,0.289473684,38,94,74,20,27,11
193,D47,Aposentado,0.090909091,11,121,91,30,10,1
194,D48,Aposentado,0.384615385,26,106,85,21,16,10
195,D49,Aposentado,0.083333333,12,120,90,30,11,1
196,D5,Aposentado,0.666666667,3,129,100,29,1,2
197,D50,Aposentado,0,2,130,99,31,2,0
198,D51,Aposentado,1,1,131,101,30,0,1
199,D52,Aposentado,0,2,130,99,31,2,0
200,D53,Aposentado,0,2,130,99,31,2,0
201,D9,Aposentado,1,1,131,101,30,0,1
202,Fuma,Desempregado,0.244444444,45,140,123,17,34,11
203,Cirurgia_coluna,Desempregado,0.208333333,72,108,99,9,57,15
204,Aposentado,Desempregado,0.305555556,36,161,142,19,25,11
205,Desempregado,Desempregado,1,30,167,167,0,0,30
206,Licenca_Medica,Desempregado,0.421052632,19,177,155,22,11,8
207,Aposentado_Invalidez,Desempregado,0.375,8,183,157,26,5,3
208,Analgésicos,Desempregado,0.144,125,64,54,10,107,18
209,OutraDoenca,Desempregado,0.2,70,121,105,16,56,14
210,Dor_costas,Desempregado,0.234782609,115,75,72,3,88,27
211,Dor_pernas,Desempregado,0.166666667,60,128,108,20,50,10
212,Retornar_trabalho,Desempregado,0.368421053,19,154,135,19,12,7
213,Masc,Desempregado,0.140625,128,69,57,12,110,18
214,Fem,Desempregado,0.173913043,69,128,110,18,57,12
215,Casado_Amasiado,Desempregado,0.109756098,82,104,87,17,73,9
216,Solteiro,Desempregado,0.17721519,79,107,95,12,65,14
217,Separado_Divorciado,Desempregado,0.142857143,7,179,154,25,6,1
218,X4,Desempregado,0,3,183,157,26,3,0
219,X5,Desempregado,0.25,4,182,157,25,3,1
220,X6,Desempregado,0.090909091,11,175,150,25,10,1
221,Livrar_costas,Desempregado,0.211538462,104,14,10,4,82,22
222,Livrar_perna,Desempregado,0.307692308,13,105,83,22,9,4
223,Livrar_perda_sens,Desempregado,0,1,117,91,26,1,0
224,D1,Desempregado,0,1,129,104,25,1,0
225,D15,Desempregado,0.333333333,6,124,101,23,4,2
226,D16,Desempregado,0.1,20,110,87,23,18,2
227,D17,Desempregado,0.2,5,125,101,24,4,1
228,D18,Desempregado,0.25,16,114,93,21,12,4
229,D19,Desempregado,0.285714286,7,123,100,23,5,2
230,D2,Desempregado,0.375,8,122,100,22,5,3
231,D20,Desempregado,0.25,8,122,99,23,6,2
232,D21,Desempregado,0.142857143,7,123,99,24,6,1
233,D22,Desempregado,0.5,2,128,104,24,1,1
234,D23,Desempregado,0.5,2,128,104,24,1,1
235,D24,Desempregado,0.269230769,26,104,86,18,19,7
236,D25,Desempregado,0.5,4,126,103,23,2,2
237,D26,Desempregado,0.5,2,128,104,24,1,1
238,D27,Desempregado,0.2,5,125,101,24,4,1
239,D28,Desempregado,0.333333333,6,124,101,23,4,2
240,D29,Desempregado,0.166666667,42,88,70,18,35,7
241,D3,Desempregado,0.5,2,128,104,24,1,1
242,D30,Desempregado,0.209677419,62,68,56,12,49,13
243,D31,Desempregado,0.25,16,114,93,21,12,4
244,D32,Desempregado,0.081081081,37,93,71,22,34,3
245,D33,Desempregado,0.090909091,11,119,95,24,10,1
246,D34,Desempregado,0.666666667,3,127,104,23,1,2
247,D35,Desempregado,1,2,128,105,23,0,2
248,D36,Desempregado,0.285714286,7,123,100,23,5,2
249,D37,Desempregado,0.136363636,22,108,86,22,19,3
250,D38,Desempregado,0,2,128,103,25,2,0
251,D39,Desempregado,0.066666667,15,115,91,24,14,1
252,D4,Desempregado,0.75,4,126,104,22,1,3
253,D40,Desempregado,0.25,4,126,102,24,3,1
254,D41,Desempregado,0.142857143,7,123,99,24,6,1
255,D42,Desempregado,0.333333333,3,127,103,24,2,1
256,D43,Desempregado,0.333333333,3,127,103,24,2,1
257,D44,Desempregado,0.078947368,38,92,70,22,35,3
258,D45,Desempregado,0.090909091,11,119,95,24,10,1
259,D46,Desempregado,0.105263158,38,92,71,21,34,4
260,D47,Desempregado,0.181818182,11,119,96,23,9,2
261,D48,Desempregado,0.115384615,26,104,82,22,23,3
262,D49,Desempregado,0.083333333,12,118,94,24,11,1
263,D5,Desempregado,0.666666667,3,127,104,23,1,2
264,D50,Desempregado,0.5,2,128,104,24,1,1
265,D51,Desempregado,1,1,129,105,24,0,1
266,D52,Desempregado,0,2,128,103,25,2,0
267,D53,Desempregado,0,2,128,103,25,2,0
268,D9,Desempregado,1,1,129,105,24,0,1
269,Fuma,Licenca_Medica,0.2,45,142,133,9,36,9
270,Cirurgia_coluna,Licenca_Medica,0.138888889,72,110,107,3,62,10
271,Aposentado,Licenca_Medica,0.138888889,36,163,149,14,31,5
272,Desempregado,Licenca_Medica,0.266666667,30,166,155,11,22,8
273,Licenca_Medica,Licenca_Medica,1,19,180,180,0,0,19
274,Aposentado_Invalidez,Licenca_Medica,0.375,8,184,169,15,5,3
275,Analgésicos,Licenca_Medica,0.088,125,66,58,8,114,11
276,OutraDoenca,Licenca_Medica,0.098591549,71,122,110,12,64,7
277,Dor_costas,Licenca_Medica,0.137931034,116,75,72,3,100,16
278,Dor_pernas,Licenca_Medica,0.2,60,129,122,7,48,12
279,Retornar_trabalho,Licenca_Medica,0.15,20,155,141,14,17,3
280,Masc,Licenca_Medica,0.092307692,130,69,62,7,118,12
281,Fem,Licenca_Medica,0.101449275,69,130,118,12,62,7
282,Casado_Amasiado,Licenca_Medica,0.061728395,81,107,93,14,76,5
283,Solteiro,Licenca_Medica,0.148148148,81,107,100,7,69,12
284,Separado_Divorciado,Licenca_Medica,0.125,8,180,162,18,7,1
285,X4,Licenca_Medica,0,3,185,166,19,3,0
286,X5,Licenca_Medica,0,4,184,165,19,4,0
287,X6,Licenca_Medica,0.090909091,11,177,159,18,10,1
288,Livrar_costas,Licenca_Medica,0.142857143,105,14,13,1,90,15
289,Livrar_perna,Licenca_Medica,0.076923077,13,106,91,15,12,1
290,Livrar_perda_sens,Licenca_Medica,0,1,118,102,16,1,0
291,D1,Licenca_Medica,0,1,131,113,18,1,0
292,D15,Licenca_Medica,0.5,6,126,111,15,3,3
293,D16,Licenca_Medica,0.15,20,112,97,15,17,3
294,D17,Licenca_Medica,0.4,5,127,111,16,3,2
295,D18,Licenca_Medica,0.1875,16,116,101,15,13,3
296,D19,Licenca_Medica,0.142857143,7,125,108,17,6,1
297,D2,Licenca_Medica,0.25,8,124,108,16,6,2
298,D20,Licenca_Medica,0.25,8,124,108,16,6,2
299,D21,Licenca_Medica,0.142857143,7,125,108,17,6,1
300,D22,Licenca_Medica,0.5,2,130,113,17,1,1
301,D23,Licenca_Medica,0,2,130,112,18,2,0
302,D24,Licenca_Medica,0.153846154,26,106,92,14,22,4
303,D25,Licenca_Medica,0,4,128,110,18,4,0
304,D26,Licenca_Medica,0.5,2,130,113,17,1,1
305,D27,Licenca_Medica,0.2,5,127,110,17,4,1
306,D28,Licenca_Medica,0.166666667,6,126,109,17,5,1
307,D29,Licenca_Medica,0.19047619,42,90,80,10,34,8
308,D3,Licenca_Medica,0,2,130,112,18,2,0
309,D30,Licenca_Medica,0.161290323,62,70,62,8,52,10
310,D31,Licenca_Medica,0.25,16,116,102,14,12,4
311,D32,Licenca_Medica,0.162162162,37,95,83,12,31,6
312,D33,Licenca_Medica,0,11,121,103,18,11,0
313,D34,Licenca_Medica,0.666666667,3,129,113,16,1,2
314,D35,Licenca_Medica,0.5,2,130,113,17,1,1
315,D36,Licenca_Medica,0.428571429,7,125,110,15,4,3
316,D37,Licenca_Medica,0.272727273,22,110,98,12,16,6
317,D38,Licenca_Medica,0.5,2,130,113,17,1,1
318,D39,Licenca_Medica,0.066666667,15,117,100,17,14,1
319,D4,Licenca_Medica,0.25,4,128,111,17,3,1
320,D40,Licenca_Medica,0.75,4,128,113,15,1,3
321,D41,Licenca_Medica,0.428571429,7,125,110,15,4,3
322,D42,Licenca_Medica,0.333333333,3,129,112,17,2,1
323,D43,Licenca_Medica,0.333333333,3,129,112,17,2,1
324,D44,Licenca_Medica,0.157894737,38,94,82,12,32,6
325,D45,Licenca_Medica,0.090909091,11,121,104,17,10,1
326,D46,Licenca_Medica,0.105263158,38,94,80,14,34,4
327,D47,Licenca_Medica,0.090909091,11,121,104,17,10,1
328,D48,Licenca_Medica,0.115384615,26,106,91,15,23,3
329,D49,Licenca_Medica,0.083333333,12,120,103,17,11,1
330,D5,Licenca_Medica,0.666666667,3,129,113,16,1,2
331,D50,Licenca_Medica,0.5,2,130,113,17,1,1
332,D51,Licenca_Medica,1,1,131,114,17,0,1
333,D52,Licenca_Medica,0,2,130,112,18,2,0
334,D53,Licenca_Medica,0,2,130,112,18,2,0
335,D9,Licenca_Medica,1,1,131,114,17,0,1
336,Fuma,Aposentado_Invalidez,0.113636364,44,138,135,3,39,5
337,Cirurgia_coluna,Aposentado_Invalidez,0.028169014,71,110,107,3,69,2
338,Aposentado,Aposentado_Invalidez,0.028571429,35,159,152,7,34,1
339,Desempregado,Aposentado_Invalidez,0.103448276,29,162,157,5,26,3
340,Licenca_Medica,Aposentado_Invalidez,0.166666667,18,174,169,5,15,3
341,Aposentado_Invalidez,Aposentado_Invalidez,1,8,189,189,0,0,8
342,Analgésicos,Aposentado_Invalidez,0.055555556,126,64,63,1,119,7
343,OutraDoenca,Aposentado_Invalidez,0.069444444,72,120,117,3,67,5
344,Dor_costas,Aposentado_Invalidez,0.060869565,115,75,74,1,108,7
345,Dor_pernas,Aposentado_Invalidez,0.118644068,59,129,128,1,52,7
346,Retornar_trabalho,Aposentado_Invalidez,0.19047619,21,153,150,3,17,4
347,Masc,Aposentado_Invalidez,0.03125,128,69,65,4,124,4
348,Fem,Aposentado_Invalidez,0.057971014,69,128,124,4,65,4
349,Casado_Amasiado,Aposentado_Invalidez,0.036144578,83,103,98,5,80,3
350,Solteiro,Aposentado_Invalidez,0.051948052,77,109,105,4,73,4
351,Separado_Divorciado,Aposentado_Invalidez,0,8,178,170,8,8,0
352,X4,Aposentado_Invalidez,0,3,183,175,8,3,0
353,X5,Aposentado_Invalidez,0,4,182,174,8,4,0
354,X6,Aposentado_Invalidez,0.090909091,11,175,168,7,10,1
355,Livrar_costas,Aposentado_Invalidez,0.058823529,102,15,13,2,96,6
356,Livrar_perna,Aposentado_Invalidez,0.153846154,13,104,98,6,11,2
357,Livrar_perda_sens,Aposentado_Invalidez,0,2,115,107,8,2,0
358,D1,Aposentado_Invalidez,0,1,130,122,8,1,0
359,D15,Aposentado_Invalidez,0.166666667,6,125,118,7,5,1
360,D16,Aposentado_Invalidez,0.157894737,19,112,107,5,16,3
361,D17,Aposentado_Invalidez,0,5,126,118,8,5,0
362,D18,Aposentado_Invalidez,0.0625,16,115,108,7,15,1
363,D19,Aposentado_Invalidez,0.142857143,7,124,117,7,6,1
364,D2,Aposentado_Invalidez,0.125,8,123,116,7,7,1
365,D20,Aposentado_Invalidez,0.125,8,123,116,7,7,1
366,D21,Aposentado_Invalidez,0,7,124,116,8,7,0
367,D22,Aposentado_Invalidez,0,2,129,121,8,2,0
368,D23,Aposentado_Invalidez,0,2,129,121,8,2,0
369,D24,Aposentado_Invalidez,0.115384615,26,105,100,5,23,3
370,D25,Aposentado_Invalidez,0,4,127,119,8,4,0
371,D26,Aposentado_Invalidez,0,2,129,121,8,2,0
372,D27,Aposentado_Invalidez,0.2,5,126,119,7,4,1
373,D28,Aposentado_Invalidez,0,6,125,117,8,6,0
374,D29,Aposentado_Invalidez,0.119047619,42,89,86,3,37,5
375,D3,Aposentado_Invalidez,0.5,2,129,122,7,1,1
376,D30,Aposentado_Invalidez,0.114754098,61,70,69,1,54,7
377,D31,Aposentado_Invalidez,0.0625,16,115,108,7,15,1
378,D32,Aposentado_Invalidez,0.111111111,36,95,91,4,32,4
379,D33,Aposentado_Invalidez,0,10,121,113,8,10,0
380,D34,Aposentado_Invalidez,0,3,128,120,8,3,0
381,D35,Aposentado_Invalidez,0,2,129,121,8,2,0
382,D36,Aposentado_Invalidez,0,7,124,116,8,7,0
383,D37,Aposentado_Invalidez,0.090909091,22,109,103,6,20,2
384,D38,Aposentado_Invalidez,0,2,129,121,8,2,0
385,D39,Aposentado_Invalidez,0.066666667,15,116,109,7,14,1
386,D4,Aposentado_Invalidez,0.25,4,127,120,7,3,1
387,D40,Aposentado_Invalidez,0,4,127,119,8,4,0
388,D41,Aposentado_Invalidez,0.142857143,7,124,117,7,6,1
389,D42,Aposentado_Invalidez,0,3,128,120,8,3,0
390,D43,Aposentado_Invalidez,0,3,128,120,8,3,0
391,D44,Aposentado_Invalidez,0.108108108,37,94,90,4,33,4
392,D45,Aposentado_Invalidez,0.1,10,121,114,7,9,1
393,D46,Aposentado_Invalidez,0.131578947,38,93,90,3,33,5
394,D47,Aposentado_Invalidez,0.181818182,11,120,114,6,9,2
395,D48,Aposentado_Invalidez,0.076923077,26,105,99,6,24,2
396,D49,Aposentado_Invalidez,0,12,119,111,8,12,0
397,D5,Aposentado_Invalidez,0,3,128,120,8,3,0
398,D50,Aposentado_Invalidez,0,2,129,121,8,2,0
399,D51,Aposentado_Invalidez,0,1,130,122,8,1,0
400,D52,Aposentado_Invalidez,0,2,129,121,8,2,0
401,D53,Aposentado_Invalidez,0,2,129,121,8,2,0
402,D9,Aposentado_Invalidez,0,1,130,122,8,1,0
403,Fuma,Analgésicos,0.688888889,45,141,49,92,14,31
404,Cirurgia_coluna,Analgésicos,0.684210526,76,122,39,83,24,52
405,Aposentado,Analgésicos,0.657142857,35,158,54,104,12,23
406,Desempregado,Analgésicos,0.642857143,28,161,54,107,10,18
407,Licenca_Medica,Analgésicos,0.578947368,19,172,58,114,8,11
408,Aposentado_Invalidez,Analgésicos,0.875,8,182,63,119,1,7
409,Analgésicos,Analgésicos,1,147,68,68,0,0,147
410,OutraDoenca,Analgésicos,0.706666667,75,124,45,79,22,53
411,Dor_costas,Analgésicos,0.81147541,122,78,41,37,23,99
412,Dor_pernas,Analgésicos,0.84375,64,134,54,80,10,54
413,Retornar_trabalho,Analgésicos,0.857142857,21,171,56,115,3,18
414,Masc,Analgésicos,0.713286713,143,72,27,45,41,102
415,Fem,Analgésicos,0.625,72,143,41,102,27,45
416,Casado_Amasiado,Analgésicos,0.691358025,81,106,40,66,25,56
417,Solteiro,Analgésicos,0.6,80,107,33,74,32,48
418,Separado_Divorciado,Analgésicos,0.75,8,179,63,116,2,6
419,X4,Analgésicos,0.666666667,3,184,64,120,1,2
420,X5,Analgésicos,0.25,4,183,62,121,3,1
421,X6,Analgésicos,0.818181818,11,176,63,113,2,9
422,Livrar_costas,Analgésicos,0.796296296,108,15,4,11,22,86
423,Livrar_perna,Analgésicos,0.785714286,14,109,23,86,3,11
424,Livrar_perda_sens,Analgésicos,0,1,122,25,97,1,0
425,D1,Analgésicos,1,1,129,42,87,0,1
426,D15,Analgésicos,0.428571429,7,123,38,85,4,3
427,D16,Analgésicos,0.9,20,110,40,70,2,18
428,D17,Analgésicos,0.8,5,125,41,84,1,4
429,D18,Analgésicos,0.866666667,15,115,40,75,2,13
430,D19,Analgésicos,0.833333333,6,124,41,83,1,5
431,D2,Analgésicos,0.875,8,122,41,81,1,7
432,D20,Analgésicos,0.857142857,7,123,41,82,1,6
433,D21,Analgésicos,0.857142857,7,123,41,82,1,6
434,D22,Analgésicos,1,1,129,42,87,0,1
435,D23,Analgésicos,1,2,128,42,86,0,2
436,D24,Analgésicos,0.653846154,26,104,33,71,9,17
437,D25,Analgésicos,0.75,4,126,41,85,1,3
438,D26,Analgésicos,1,2,128,42,86,0,2
439,D27,Analgésicos,0.8,5,125,41,84,1,4
440,D28,Analgésicos,0.666666667,6,124,40,84,2,4
441,D29,Analgésicos,0.833333333,42,88,35,53,7,35
442,D3,Analgésicos,1,2,128,42,86,0,2
443,D30,Analgésicos,0.85483871,62,68,33,35,9,53
444,D31,Analgésicos,0.529411765,17,113,34,79,8,9
445,D32,Analgésicos,0.891891892,37,93,38,55,4,33
446,D33,Analgésicos,0.666666667,12,118,38,80,4,8
447,D34,Analgésicos,0.666666667,3,127,41,86,1,2
