"","Binaria","Ordinal","rpb","pvalue","Bin_0","Bin_1","Missing"
"174","Desempregado","SF12_M1_2_v1","-0.0786261447410303","0.47923151027656","162","29","41"
"175","Desempregado","SF12_M1_3_v1","-0.0814617727525645","0.46350226159752","162","29","41"
"176","Desempregado","SF12_M1_4_v1","-0.0609519269539945","0.583453418639494","162","29","41"
"177","Desempregado","SF12_M1_5_v1","-0.0855012259016699","0.441596644782901","162","29","41"
"178","Desempregado","SF12_M1_6_v1","-0.0568024324472322","0.609358021496895","162","29","41"
"179","Desempregado","SF12_M1_7_v1","-0.0123449832158545","0.911602220107289","162","29","41"
"180","Desempregado","SF12_M1_8_v1","0.165795674549121","0.134811697016383","162","29","41"
"181","Desempregado","SF12_M1_9_v1","-0.13950282598297","0.208698229658662","162","29","41"
"182","Desempregado","SF12_M1_10_v1","-0.167618629897286","0.130550262146534","162","29","41"
"183","Desempregado","SF12_M1_11_v1","-0.19462841825195","0.0788441254992237","162","29","41"
"184","Desempregado","SF12_M1_12_v1","-0.115910669436704","0.296545907257675","162","29","41"
"185","Licenca_Medica","Há quanto tempo em São Paulo se de outro local","-0.372251416100619","0.239566995645686","20","4","1"
"186","Licenca_Medica","Quantidade de cirurgias na coluna","0.228458172409143","0.158233374877104","106","11","29"
"187","Licenca_Medica","Trabalho_Cansativo","-0.312595800560899","0.0204725978566832","121","18","0"
"188","Licenca_Medica","Licenca_Tempo","0.648552343618681","0.388896365766132","1","5","0"
"189","Licenca_Medica","Tempo com a dor nas costas","-0.0769163241291371","0.574092367709219","118","18","6"
"190","Licenca_Medica","Tempo com dor que irradia p/ as pernas","0.123979183699482","0.365380878519012","117","18","6"
"191","Licenca_Medica","Andar_velocidade","-0.0462643070984944","0.736336710360477","116","18","1"
"192","Licenca_Medica","Dor_costas_VAS","0.181709995310605","0.156727888478216","147","19","15"
"193","Licenca_Medica","Intensidade da dor nas pernas","0.337853970753681","0.00644986775881612","168","19","15"
"194","Licenca_Medica","IDADE","-0.0759492126584085","0.550833077279316","168","18","16"
"195","Licenca_Medica","BPI_3_v1","0.200564093154783","0.104181874009339","178","19","39"
"196","Licenca_Medica","BPI_4_v1","0.224992234175088","0.0680873257923091","178","19","39"
"197","Licenca_Medica","BPI_5_v1","0.123286563869181","0.318900153522537","178","19","39"
"198","Licenca_Medica","Intensidade da dor no momento","0.0305839235558911","0.825496595318165","111","18","2"
"199","Licenca_Medica","BPI_8_v1","0.253453652991395","0.0702956081267461","122","16","22"
"200","Licenca_Medica","BPI - Atividde geral","0.385243316901982","0.00711568062214101","116","15","24"
"201","Licenca_Medica","BPI - Humor","0.336758884900143","0.0190401368340971","116","15","24"
"202","Licenca_Medica","BPI - Habilidade de caminhar","0.28388572239622","0.0487882396607688","116","15","24"
"203","Licenca_Medica","BPI - Trabalho","0.236442519553931","0.101564108514901","116","15","24"
"204","Licenca_Medica","BPI - Relacionamento com outras pessoas","0.255669049906441","0.0763886865208804","116","15","24"
"205","Licenca_Medica","BPI - Sono","0.219430670978645","0.128911585384631","116","15","24"
"206","Licenca_Medica","BPI - Habilidade para apreciar a vida","0.15015852202939","0.299931907347222","116","15","24"
"207","Licenca_Medica","Oswestry1_v1","0.170936893352184","0.168380105697601","174","19","39"
"208","Licenca_Medica","Oswestry2_v1","0.0373996292794756","0.763676299527245","174","19","39"
"209","Licenca_Medica","Oswestry3_v1","0.0481506473121354","0.698671335095735","174","19","39"
"210","Licenca_Medica","Oswestry4_v1","0.00142106504178409","0.99088625906263","174","19","39"
"211","Licenca_Medica","Oswestry5_v1","0.0619873456197866","0.618187037447432","174","19","39"
"212","Licenca_Medica","Oswestry6_v1","0.0849723985450867","0.494333041584625","174","19","39"
"213","Licenca_Medica","Oswestry7_v1","0.182877631062977","0.140433078941389","174","19","39"
"214","Licenca_Medica","Oswestry8_v1","-0.0674885894769587","0.587344578364996","174","19","39"
"215","Licenca_Medica","Oswestry9_v1","0.0032049033685036","0.979447749854309","174","19","39"
"216","Licenca_Medica","Oswestry10_v1","0.0138019317606686","0.911661745480282","174","19","39"
"217","Licenca_Medica","Somatoria_Owestry","0.0543157941581041","0.662326227024587","174","19","39"
"218","Licenca_Medica","Ord_RMDQ","0.291214796109723","0.117616280255175","108","7","20"
"219","Licenca_Medica","SF12_M1_1_v1","-0.0435734775398399","0.726111094859942","174","19","39"
"220","Licenca_Medica","SF12_M1_2_v1","-0.0663248907946045","0.593809650016011","174","19","39"
"221","Licenca_Medica","SF12_M1_3_v1","-0.0535085539085775","0.667042696012583","174","19","39"
"222","Licenca_Medica","SF12_M1_4_v1","-0.0336004218198259","0.787076730930113","174","19","39"
"223","Licenca_Medica","SF12_M1_5_v1","-0.0502698267318603","0.686095598526025","174","19","39"
"224","Licenca_Medica","SF12_M1_6_v1","-0.0753766568929414","0.544398215338822","174","19","39"
"225","Licenca_Medica","SF12_M1_7_v1","-0.0155566895894179","0.900485234615326","174","19","39"
"226","Licenca_Medica","SF12_M1_8_v1","0.060463690551844","0.626851973382723","174","19","39"
"227","Licenca_Medica","SF12_M1_9_v1","-0.0413866802307821","0.739347482658512","174","19","39"
"228","Licenca_Medica","SF12_M1_10_v1","-0.177865379716384","0.151699462436265","174","19","39"
"229","Licenca_Medica","SF12_M1_11_v1","-0.121114239184134","0.329689281133626","174","19","39"
"230","Licenca_Medica","SF12_M1_12_v1","0.0665287682824513","0.592674651763019","174","19","39"
"231","Aposentado_Invalidez","Há quanto tempo em São Paulo se de outro local",NA,NA,"25","0","0"
"232","Aposentado_Invalidez","Quantidade de cirurgias na coluna","0.668878110576698","0.00231788788767767","113","4","29"
"233","Aposentado_Invalidez","Trabalho_Cansativo","-0.100674935623405","0.561225192613571","129","8","2"
"234","Aposentado_Invalidez","Licenca_Tempo","0.9999","0.000170946498870242","4","2","0"
"235","Aposentado_Invalidez","Tempo com a dor nas costas","0.188155177328236","0.276770850500921","129","8","5"
"236","Aposentado_Invalidez","Tempo com dor que irradia p/ as pernas","0.197177630750121","0.254952255846066","128","8","5"
"237","Aposentado_Invalidez","Andar_velocidade","-0.408420074963896","0.0180794971109165","124","8","3"
"238","Aposentado_Invalidez","Dor_costas_VAS","0.142550183306148","0.393512491257667","158","8","15"
"239","Aposentado_Invalidez","Intensidade da dor nas pernas","0.663110192804442","3.50594165338191e-05","177","8","17"
"240","Aposentado_Invalidez","IDADE","0.0179857751717594","0.912686043327183","177","8","17"
"241","Aposentado_Invalidez","BPI_3_v1","0.299367552924091","0.0642840163850008","187","8","41"
"242","Aposentado_Invalidez","BPI_4_v1","0.176660161975048","0.276302590452989","187","8","41"
"243","Aposentado_Invalidez","BPI_5_v1","0.269372321566273","0.0962308349217771","187","8","41"
"244","Aposentado_Invalidez","Intensidade da dor no momento","0.0870089841341618","0.620263895366987","120","8","3"
"245","Aposentado_Invalidez","BPI_8_v1","0.0674648102142877","0.697517760601882","128","8","24"
"246","Aposentado_Invalidez","BPI - Atividde geral","0.166611135776905","0.363222276905464","120","7","28"
"247","Aposentado_Invalidez","BPI - Humor","0.0401129986172785","0.826988633291968","120","7","28"
"248","Aposentado_Invalidez","BPI - Habilidade de caminhar","0.295214328447196","0.105911049789891","120","7","28"
"249","Aposentado_Invalidez","BPI - Trabalho","0.211611008416195","0.24768108284684","120","7","28"
"250","Aposentado_Invalidez","BPI - Relacionamento com outras pessoas","0.101971972175339","0.578271951917697","120","7","28"
"251","Aposentado_Invalidez","BPI - Sono","0.185618132485641","0.310880761526427","120","7","28"
"252","Aposentado_Invalidez","BPI - Habilidade para apreciar a vida","0.0779355235787689","0.671008925294115","120","7","28"
"253","Aposentado_Invalidez","Oswestry1_v1","0.436677092692568","0.00686829931505177","183","8","41"
"254","Aposentado_Invalidez","Oswestry2_v1","0.366500737372396","0.0236847328346063","183","8","41"
"255","Aposentado_Invalidez","Oswestry3_v1","0.348214990224665","0.0317211810917983","183","8","41"
"256","Aposentado_Invalidez","Oswestry4_v1","0.319942658165746","0.0486530279944963","183","8","41"
"257","Aposentado_Invalidez","Oswestry5_v1","0.353751183746237","0.0290735779713073","183","8","41"
"258","Aposentado_Invalidez","Oswestry6_v1","0.29987199856303","0.0647802948978504","183","8","41"
"259","Aposentado_Invalidez","Oswestry7_v1","0.317057648083914","0.050741557446629","183","8","41"
"260","Aposentado_Invalidez","Oswestry8_v1","0.335844372275477","0.0383859993335422","183","8","41"
"261","Aposentado_Invalidez","Oswestry9_v1","0.372821578015986","0.0213482016151462","183","8","41"
"262","Aposentado_Invalidez","Oswestry10_v1","0.436148824338898","0.00693751145939051","183","8","41"
"263","Aposentado_Invalidez","Somatoria_Owestry","0.384908722328969","0.0174301446522244","183","8","41"
"264","Aposentado_Invalidez","Ord_RMDQ","0.371118693934209","0.0569428429503797","109","6","20"
"265","Aposentado_Invalidez","SF12_M1_1_v1","0.442330531643844","0.00616524229142302","183","8","41"
"266","Aposentado_Invalidez","SF12_M1_2_v1","-0.457555527159084","0.00458060903607738","183","8","41"
"267","Aposentado_Invalidez","SF12_M1_3_v1","-0.484924144256158","0.00262336485944285","183","8","41"
"268","Aposentado_Invalidez","SF12_M1_4_v1","-0.400020716656387","0.0134227739281733","183","8","41"
"269","Aposentado_Invalidez","SF12_M1_5_v1","-0.428425664590605","0.00802276757784472","183","8","41"
"270","Aposentado_Invalidez","SF12_M1_6_v1","-0.333337420965958","0.0398715946090244","183","8","41"
"271","Aposentado_Invalidez","SF12_M1_7_v1","-0.418648648631372","0.0096113477814737","183","8","41"
"272","Aposentado_Invalidez","SF12_M1_8_v1","0.42095009840356","0.00921425271220395","183","8","41"
"273","Aposentado_Invalidez","SF12_M1_9_v1","-0.390951899696311","0.0157173731370211","183","8","41"
"274","Aposentado_Invalidez","SF12_M1_10_v1","-0.312612213008284","0.0541051795479587","183","8","41"
"275","Aposentado_Invalidez","SF12_M1_11_v1","-0.431916876616079","0.00751477996938824","183","8","41"
"276","Aposentado_Invalidez","SF12_M1_12_v1","-0.421827965866624","0.00906665456584032","183","8","41"
"277","Analgésicos","Há quanto tempo em São Paulo se de outro local","0.333579671605852","0.217266814202501","8","17","0"
"278","Analgésicos","Quantidade de cirurgias na coluna","0.248048683288527","0.0291610744975977","40","95","11"
"279","Analgésicos","Trabalho_Cansativo","0.0389797388560572","0.732617177459372","42","92","5"
"280","Analgésicos","Licenca_Tempo","-0.195655051326347","0.775351918001582","2","4","0"
"281","Analgésicos","Tempo com a dor nas costas","0.633733197683056","1.31884191205146e-09","44","96","2"
"282","Analgésicos","Tempo com dor que irradia p/ as pernas","0.429791308768722","8.20174432758172e-05","43","96","2"
"283","Analgésicos","Andar_velocidade","-0.484965400343171","8.76919643395936e-06","45","88","2"
"284","Analgésicos","Dor_costas_VAS","0.57145848409877","1.19163690149896e-09","57","118","6"
"285","Analgésicos","Intensidade da dor nas pernas","0.33069227724438","0.000333472622033522","63","133","6"
"286","Analgésicos","IDADE","0.0159525933170081","0.866751318873405","65","121","16"
"287","Analgésicos","BPI_3_v1","0.226977278706818","0.0113742678938085","66","147","23"
"288","Analgésicos","BPI_4_v1","0.18260802749658","0.0422812897341348","66","147","23"
"289","Analgésicos","BPI_5_v1","0.231807662998988","0.00971805124007367","66","147","23"
"290","Analgésicos","Intensidade da dor no momento","0.525358816279808","2.84601396464967e-06","40","87","4"
"291","Analgésicos","BPI_8_v1","0.00913251434322172","0.937311778044363","33","113","14"
"292","Analgésicos","BPI - Atividde geral","-0.0619578591635215","0.595049107335098","34","107","14"
"293","Analgésicos","BPI - Humor","-0.0262902482094436","0.821630426580983","34","107","14"
"294","Analgésicos","BPI - Habilidade de caminhar","-0.145316323705867","0.211467115618302","34","107","14"
"295","Analgésicos","BPI - Trabalho","0.00078325199233669","0.994641403769642","34","107","14"
"296","Analgésicos","BPI - Relacionamento com outras pessoas","-0.00238011400065002","0.983717514719069","34","107","14"
"297","Analgésicos","BPI - Sono","-0.0696166842601116","0.55029487930009","34","107","14"
